read_count,sample_ID,subtype
12,SA_5_24,5_24/SA_5_24_ambiguous
6,SA_5_24,5_24/SA_5_24_H1N1
107,SA_5_24,5_24/SA_5_24_H3N2
6,SA_5_25,5_25/SA_5_25_ambiguous
2,SA_5_25,5_25/SA_5_25_H1N1
86,SA_5_25,5_25/SA_5_25_H3N2
2,SA_5_26,5_26/SA_5_26_ambiguous
5,SA_5_26,5_26/SA_5_26_H1N1
214,SA_5_26,5_26/SA_5_26_H3N2
5,SA_5_27,5_27/SA_5_27_ambiguous
2,SA_5_27,5_27/SA_5_27_H1N1
131,SA_5_27,5_27/SA_5_27_H3N2
1,SA_5_28,5_28/SA_5_28_ambiguous
2,SA_5_28,5_28/SA_5_28_H1N1
38,SA_5_28,5_28/SA_5_28_H3N2
8,SA_5_29,5_29/SA_5_29_ambiguous
4,SA_5_29,5_29/SA_5_29_H1N1
101,SA_5_29,5_29/SA_5_29_H3N2
3,SA_5_2,5_2/SA_5_2_ambiguous
1,SA_5_2,5_2/SA_5_2_H1N1
13,SA_5_2,5_2/SA_5_2_H3N2
6,SA_5_30,5_30/SA_5_30_ambiguous
1,SA_5_30,5_30/SA_5_30_H1N1
155,SA_5_30,5_30/SA_5_30_H3N2
20,SA_5_3,5_3/SA_5_3_ambiguous
3,SA_5_3,5_3/SA_5_3_H1N1
241,SA_5_3,5_3/SA_5_3_H3N2
1,SA_5_4,5_4/SA_5_4_ambiguous
1,SA_5_4,5_4/SA_5_4_H1N1
18,SA_5_4,5_4/SA_5_4_H3N2
1996,SA_5_5,5_5/SA_5_5_ambiguous
1,SA_5_5,5_5/SA_5_5_H1N1
5596,SA_5_5,5_5/SA_5_5_H3N2
969,SA_5_6,5_6/SA_5_6_ambiguous
4,SA_5_6,5_6/SA_5_6_H1N1
10198,SA_5_6,5_6/SA_5_6_H3N2
1,SA_5_7,5_7/SA_5_7_H1N1
1,SA_5_7,5_7/SA_5_7_H3N2
8319,SA_5_8,5_8/SA_5_8_ambiguous
4,SA_5_8,5_8/SA_5_8_H1N1
49762,SA_5_8,5_8/SA_5_8_H3N2
0,SA_5_9_12,5_9_12/SA_5_9_12_
1,SA_5_9_14,5_9_14/SA_5_9_14_H1N1
0,SA_5_9_19,5_9_19/SA_5_9_19_
1,SA_5_9_5,5_9_5/SA_5_9_5_H3N2
6678,SA_5_9_6,5_9_6/SA_5_9_6_ambiguous
25705,SA_5_9_6,5_9_6/SA_5_9_6_H3N2
95,SA_5_9_7,5_9_7/SA_5_9_7_ambiguous
37557,SA_5_9_7,5_9_7/SA_5_9_7_H3N2
246,SA_5_9_8,5_9_8/SA_5_9_8_ambiguous
1,SA_5_9_8,5_9_8/SA_5_9_8_H1N1
13403,SA_5_9_8,5_9_8/SA_5_9_8_H3N2
1733,SA_6,6/SA_6_ambiguous
3037,SA_6,6/SA_6_H1N1
46,SA_6,6/SA_6_H3N2
6980,SA_7,7/SA_7_ambiguous
52841,SA_7,7/SA_7_H1N1
10,SA_7,7/SA_7_H1N2
18351,SA_7,7/SA_7_H3N2
8935,SA_8,8/SA_8_ambiguous
48,SA_8,8/SA_8_H1N1
14028,SA_8,8/SA_8_H3N2
5,SA_9_10,9_10/SA_9_10_ambiguous
380,SA_9_10,9_10/SA_9_10_H1N1
195,SA_9_10,9_10/SA_9_10_H3N2
23,SA_9_11,9_11/SA_9_11_ambiguous
900,SA_9_11,9_11/SA_9_11_H1N1
36607,SA_9_11,9_11/SA_9_11_H3N2
9,SA_9_12,9_12/SA_9_12_ambiguous
5584,SA_9_12,9_12/SA_9_12_H1N1
37,SA_9_12,9_12/SA_9_12_H3N2
56,SA_9_13,9_13/SA_9_13_ambiguous
19801,SA_9_13,9_13/SA_9_13_H1N1
49,SA_9_13,9_13/SA_9_13_H3N2
30,SA_9_14,9_14/SA_9_14_ambiguous
463,SA_9_14,9_14/SA_9_14_H1N1
310,SA_9_14,9_14/SA_9_14_H3N2
16,SA_9_15,9_15/SA_9_15_ambiguous
10738,SA_9_15,9_15/SA_9_15_H1N1
2,SA_9_15,9_15/SA_9_15_H1N2
245,SA_9_15,9_15/SA_9_15_H3N2
14,SA_9_16,9_16/SA_9_16_ambiguous
656,SA_9_16,9_16/SA_9_16_H1N1
24,SA_9_16,9_16/SA_9_16_H3N2
55,SA_9_17,9_17/SA_9_17_ambiguous
400,SA_9_17,9_17/SA_9_17_H1N1
88,SA_9_17,9_17/SA_9_17_H3N2
4,SA_9_18,9_18/SA_9_18_ambiguous
510,SA_9_18,9_18/SA_9_18_H1N1
1,SA_9_18,9_18/SA_9_18_H1N2
120,SA_9_18,9_18/SA_9_18_H3N2
10,SA_9_19,9_19/SA_9_19_ambiguous
437,SA_9_19,9_19/SA_9_19_H1N1
1,SA_9_19,9_19/SA_9_19_H1N2
11,SA_9_19,9_19/SA_9_19_H3N2
138,SA_9_1,9_1/SA_9_1_ambiguous
142,SA_9_1,9_1/SA_9_1_H1N1
1,SA_9_1,9_1/SA_9_1_H1N2
422,SA_9_1,9_1/SA_9_1_H3N2
3,SA_9_20,9_20/SA_9_20_ambiguous
65,SA_9_20,9_20/SA_9_20_H1N1
